titlu,pret_text,pret_numeric,an,kilometraj,locatie,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi A5 4 0 Tfsi Mild Hybrid Cititi Anuntul,"29 500 €
Prețul e negociabil",29500.0,2020,105 000,N/A,https://www.olx.ro/d/oferta/audi-a5-4-0-tfsi-mild-hybrid-cititi-anuntul-IDjLdrK.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/litybhxzvwqo1-RO/image;s=1000x593;https://frankfurt.apollo.olxcdn.com:443/v1/files/jgupwipj96dk-RO/image;s=1000x567;https://frankfurt.apollo.olxcdn.com:443/v1/files/3bn0xfbzn3a61-RO/image;s=1000x635;https://frankfurt.apollo.olxcdn.com:443/v1/files/wn4mara9c9ql1-RO/image;s=1000x631;https://frankfurt.apollo.olxcdn.com:443/v1/files/cdxgvaavffyn2-RO/image;s=1000x656,petrol,automatic,Hatchback,Audi,A5,olx_jLdrK,2025-09-11T13:47:00.645431
Audi Q3 Sportback 45Tfsie,33 500 €,33500.0,2022,48 000,N/A,https://www.olx.ro/d/oferta/audi-q3-sportback-45tfsie-IDjNoyq.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/48whuk1odb0m3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/0je4aeuwi35f1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ajpmyo1ktxtj1-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/45wjvo7lie0j-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/a80q8m1abs5t3-RO/image;s=750x1000,hybrid,automatic,SUV,Audi,Q3,olx_jNoyq,2025-09-11T13:47:12.166922
Audi Q5 35 000 Km 2021 Panoramic Camera Keyless,"33 800 €
Prețul e negociabil",33800.0,2021,35 000,N/A,https://www.olx.ro/d/oferta/audi-q5-35-000-km-2021-panoramic-camera-keyless-IDinBM2.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/pnap72rj1fcn-RO/image;s=1008x756;https://frankfurt.apollo.olxcdn.com:443/v1/files/v7d7enoh38lu-RO/image;s=1008x756;https://frankfurt.apollo.olxcdn.com:443/v1/files/pcgh0qz44bsq-RO/image;s=756x1008;https://frankfurt.apollo.olxcdn.com:443/v1/files/bl9nm6ru4w9j2-RO/image;s=1008x756;https://frankfurt.apollo.olxcdn.com:443/v1/files/klll33x2fa6l1-RO/image;s=768x1024,petrol,automatic,SUV,Audi,Q5,olx_inBM2,2025-09-11T13:47:16.286531
Audi A8 50 Tdi B O Ppf Fara Daune Webasto,"49 800 €
Prețul e negociabil",49800.0,2019,145 000,N/A,https://www.olx.ro/d/oferta/audi-a8-50-tdi-b-o-ppf-fara-daune-webasto-IDjNnqQ.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/c826p40qjmy53-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/3q8s170b945g-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/jyv6kq8od1n8-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/eiu8stuucbgv3-RO/image;s=1000x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/37mi6gvvff941-RO/image;s=1000x1000,diesel,automatic,Berlina,Audi,A8,olx_jNnqQ,2025-09-11T13:47:20.316703
Audi Q3 2019 1 5 35Tfsi S Tronic,25 000 €,25000.0,2019,128 500,N/A,https://www.olx.ro/d/oferta/audi-q3-2019-1-5-35tfsi-s-tronic-IDjNmDG.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/wh94s8b32ro6-RO/image;s=2268x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/r6kpu82oij8y-RO/image;s=4032x2268;https://frankfurt.apollo.olxcdn.com:443/v1/files/76k6hwxjc8e51-RO/image;s=4032x2268;https://frankfurt.apollo.olxcdn.com:443/v1/files/e6orody1dtd82-RO/image;s=2268x4032;https://frankfurt.apollo.olxcdn.com:443/v1/files/s5zh0aaruyte-RO/image;s=4032x2268,petrol,automatic,SUV,Audi,Q3,olx_jNmDG,2025-09-11T13:47:39.145945
Audi A5 4 0Tdi 2015,24 500 €,24500.0,2020,137 000,N/A,https://www.olx.ro/d/oferta/audi-a5-4-0tdi-2015-IDjNmFv.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/pkfteqkbyz5b-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/7nga5ulyofka3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/e6msrzw5md0p3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/vnpchrpza5ob1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/pxmnhgdln8c62-RO/image;s=1000x750,diesel,automatic,Coupe,Audi,A5,olx_jNmFv,2025-09-11T13:47:44.516280
Vand Audi Sq5 B9,"27 500 €
Prețul e negociabil",27500.0,2019,129 000,N/A,https://www.olx.ro/d/oferta/vand-audi-sq5-b9-IDjMnNj.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/3cilrrbuqchw1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/etyte4webi2t-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/8nllqxhvwvt41-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/a1052ja7alyu3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/abi64dt6i38y2-RO/image;s=750x1000,petrol,automatic,SUV,Audi,Q5,olx_jMnNj,2025-09-11T13:47:53.103774
Audi A8 Long,50 000 €,50000.0,2021,76 000,N/A,https://www.olx.ro/d/oferta/audi-a8-long-IDjItqa.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/9nn9r6io4eck-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/01q4ybuzb0p22-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/6zwqq0gsw5mp-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/3bkcb2z6rgpx-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/55w5tl5rwz331-RO/image;s=1000x750,hybrid,automatic,Berlina,Audi,A8,olx_jItqa,2025-09-11T13:48:58.804491
Vand Bmw 520D G30 Luxury Line,21 000 €,21000.0,2018,172 000,N/A,https://www.olx.ro/d/oferta/vand-bmw-520d-g30-luxury-line-IDjyGeX.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/s4vvn5tuqfx51-RO/image;s=563x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/jptj1atd80xk1-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/vz2rhfqvd7xy1-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/kksljwq3vzze2-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/ptdgmpudoew22-RO/image;s=1000x563,diesel,automatic,Berlina,BMW,Unknown,olx_jyGeX,2025-09-11T13:49:48.990312
Bmw 118I Model Luxury 2022 12000 Km,"22 500 €
Prețul e negociabil",22500.0,2022,12 200,N/A,https://www.olx.ro/d/oferta/bmw-118i-model-luxury-2022-12000-km-IDjDjvT.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/n3djr5jain2e2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/gjhpevhvzrgn3-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/oij5bvgfre4w-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/6zzhr7m7ijt71-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/mcxrt8ud51wr1-RO/image;s=4032x3024,petrol,automatic,Hatchback,BMW,Unknown,olx_jDjvT,2025-09-11T13:49:52.762074
