titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi A4 S Line B9 2 0Tdi Quattro 190Cai,20 990 €,20990.0,N/A,N/A,https://www.olx.ro/d/oferta/audi-a4-s-line-b9-2-0tdi-quattro-190cai-IDjKJBp.html,,N/A,N/A,N/A,Audi,90,olx_jKJBp,2025-09-15T02:20:48.653507
Audi A4 S Line B9 2 0Tdi Quattro 190Cai,20 990 €,20990.0,N/A,N/A,https://www.olx.ro/d/oferta/audi-a4-s-line-b9-2-0tdi-quattro-190cai-IDjKJBp.html,,N/A,N/A,N/A,Audi,90,olx_jKJBp,2025-09-15T02:21:54.935637
Bmw 520D Xdrive Sport Line,21 000 €,21000.0,2017,133 711,https://www.olx.ro/d/oferta/bmw-520d-xdrive-sport-line-IDjLw81.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/8luyz6mzkc7j2-RO/image;s=1080x1440;https://frankfurt.apollo.olxcdn.com:443/v1/files/u0db4xs1anlr1-RO/image;s=1080x1440;https://frankfurt.apollo.olxcdn.com:443/v1/files/1j96bfj0rs9z2-RO/image;s=1080x1918;https://frankfurt.apollo.olxcdn.com:443/v1/files/a7ek2v7lwnct1-RO/image;s=1080x1918;https://frankfurt.apollo.olxcdn.com:443/v1/files/1muq6wcmc9mc-RO/image;s=1080x1440,diesel,automatic,Berlina,BMW,Unknown,olx_jLw81,2025-09-15T02:22:25.956792
Bmw X5 2021 Xdrive,53 000 €,53000.0,2021,56 800,https://www.olx.ro/d/oferta/bmw-x5-2021-xdrive-IDjLhUx.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/4skr3l4xgb4r-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/cx5ehircjr56-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/s5dv1ccmqusw-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/xggt9purbv1k3-RO/image;s=1660x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/huisy80bj73h-RO/image;s=2000x924,diesel,automatic,SUV,BMW,X5,olx_jLhUx,2025-09-15T02:22:34.569597
Bmw Seria 520Xd 2017,21 000 €,21000.0,2017,200 000,https://www.olx.ro/d/oferta/bmw-seria-520xd-2017-IDjgt1y.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/wtv2zmr39n9n1-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/ajkt7tt3sktx2-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/rc9lg43c2vof-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/hg5ybxyt4cl62-RO/image;s=2000x1500;https://frankfurt.apollo.olxcdn.com:443/v1/files/vb9vlnqifm8q1-RO/image;s=2000x1500,diesel,automatic,Berlina,BMW,Seria 5,olx_jgt1y,2025-09-15T02:22:42.318660
Bmw X3 2019 190 Cp X Drive Diesel,23 000 €,23000.0,2019,197 000,https://www.olx.ro/d/oferta/bmw-x3-2019-190-cp-x-drive-diesel-IDjDeUq.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/nc73stc8dsxn-RO/image;s=765x1020;https://frankfurt.apollo.olxcdn.com:443/v1/files/cxwo36oumtd52-RO/image;s=765x1020;https://frankfurt.apollo.olxcdn.com:443/v1/files/4ptxz7fqxonk2-RO/image;s=765x1020;https://frankfurt.apollo.olxcdn.com:443/v1/files/imrwc5v7u1wl2-RO/image;s=765x1020;https://frankfurt.apollo.olxcdn.com:443/v1/files/s5lltzk0lg2t1-RO/image;s=765x1020,diesel,automatic,SUV,BMW,X3,olx_jDeUq,2025-09-15T02:22:49.404162
Bmw X5 2021 Xdrive,53 000 €,53000.0,2021,56 800,https://www.olx.ro/d/oferta/bmw-x5-2021-xdrive-IDjLhUx.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/4skr3l4xgb4r-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/cx5ehircjr56-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/s5dv1ccmqusw-RO/image;s=2000x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/xggt9purbv1k3-RO/image;s=1660x924;https://frankfurt.apollo.olxcdn.com:443/v1/files/huisy80bj73h-RO/image;s=2000x924,diesel,automatic,SUV,BMW,X5,olx_jLhUx,2025-09-15T02:22:57.861191
Bmw X4 M Pachet X Drive Distronic Head Up Display Carbon Schwarz,21 600 €,21600.0,2017,153 000,https://www.olx.ro/d/oferta/bmw-x4-m-pachet-x-drive-distronic-head-up-display-carbon-schwarz-IDjLk5A.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/40lv3l7hg77d3-RO/image;s=1846x1852;https://frankfurt.apollo.olxcdn.com:443/v1/files/555pmvzkyahe1-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/j9njm9jp9ze12-RO/image;s=1230x1639;https://frankfurt.apollo.olxcdn.com:443/v1/files/0byttwgv5vwh3-RO/image;s=1108x954;https://frankfurt.apollo.olxcdn.com:443/v1/files/6yzelkw8k6no3-RO/image;s=1230x1650,diesel,automatic,SUV,BMW,X4,olx_jLk5A,2025-09-15T02:23:05.210524
Bmw Seria 5 520D G70 M Paket Pro Panorama Grila Iluminata H K,55 000 €,55000.0,2024,25 000,https://www.olx.ro/d/oferta/bmw-seria-5-520d-g70-m-paket-pro-panorama-grila-iluminata-h-k-IDjMSwP.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/9mojeu2idulk-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/3revqwsiozzw1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ty04yauscg1c-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/sd4tkd8ulr3h-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/z3rlxh57c3572-RO/image;s=1000x750,diesel,automatic,Berlina,BMW,Seria 5,olx_jMSwP,2025-09-15T02:23:19.069495
Bmw 530D Xdrive Full Masaj Trapa Jante Noi Tva Inclus,25 999 €,25999.0,2018,168 000,https://www.olx.ro/d/oferta/bmw-530d-xdrive-full-masaj-trapa-jante-noi-tva-inclus-IDjwFr0.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/t82qs7o9eodf2-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/l0ckaov7pijc-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/q8hqs1ij7o1z-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/9gf4iof4w8jp3-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/zoglpl4w9lvf1-RO/image;s=1500x2000,diesel,automatic,Berlina,BMW,Unknown,olx_jwFr0,2025-09-15T02:23:27.109465
Bmw Seria 3 G20 Sedan 318D Stare Excelenta,22 990 €,22990.0,2020,111 442,https://www.olx.ro/d/oferta/bmw-seria-3-g20-sedan-318d-stare-excelenta-IDjILho.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/rtcna936s02k2-RO/image;s=3363x2538;https://frankfurt.apollo.olxcdn.com:443/v1/files/yngayn5um7xd1-RO/image;s=4000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/uf2q1vth4rnp1-RO/image;s=4000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/j3557hbr314r2-RO/image;s=4000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ht0n5vne76oa-RO/image;s=4000x3000,diesel,automatic,Berlina,BMW,Seria 3,olx_jILho,2025-09-15T02:23:34.583153
Bmw X5 X Line G05 2020 Xdrive 25D 231 Cp Panoramic Hud Adaptive,40 900 €,40900.0,2020,139 942,https://www.olx.ro/d/oferta/bmw-x5-x-line-g05-2020-xdrive-25d-231-cp-panoramic-hud-adaptive-IDjJ3Mz.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/la4dpnm2b5wg3-RO/image;s=4000x2824;https://frankfurt.apollo.olxcdn.com:443/v1/files/jecis80t3cfk3-RO/image;s=4000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/hh6mii4jk7wm1-RO/image;s=4000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ht62d3ieoqyb-RO/image;s=4000x3000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ltdohi2oc8zy2-RO/image;s=4000x3000,diesel,automatic,SUV,BMW,X5,olx_jJ3Mz,2025-09-15T02:23:40.977478
