titlu,pret_text,pret_numeric,an,kilometraj,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi Q8 Sline Hibrid,58 000 €,58000.0,2021,120 000,https://www.olx.ro/d/oferta/audi-q8-sline-hibrid-IDjLJ39.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/tjfw0uxdd2km3-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ow64c8lbct5w2-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/t33vzxbzlkki2-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/en0efhspj4ir1-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/yknv1qg548yw-RO/image;s=1500x2000,hybrid,automatic,SUV,Audi,Q8,olx_jLJ39,2025-09-15T08:16:19.614037
Audi Q5 Sprot 2 0 Tdi Quattro,29 000 €,29000.0,2018,76 000,https://www.olx.ro/d/oferta/audi-q5-sprot-2-0-tdi-quattro-IDiYFv3.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/cb3vqmzr0k2a-RO/image;s=1543x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/r6dka3yvgnz82-RO/image;s=1600x720;https://frankfurt.apollo.olxcdn.com:443/v1/files/60ydxzp2oy053-RO/image;s=1600x814;https://frankfurt.apollo.olxcdn.com:443/v1/files/6phom8tsvy3h1-RO/image;s=1442x739;https://frankfurt.apollo.olxcdn.com:443/v1/files/xd0k39lqeghc2-RO/image;s=1599x1071,diesel,automatic,SUV,Audi,Q5,olx_iYFv3,2025-09-15T08:16:28.326299
Audi A4 3X S Line 2017 Euro 6,21 500 €,21500.0,2017,166 240,https://www.olx.ro/d/oferta/audi-a4-3x-s-line-2017-euro-6-IDjyciT.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1o8kj6hog5g1-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/c6r59shlcnla-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/6peov2w4wm2t3-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/aab0tv50dsj51-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/xgjx3mszo9gm2-RO/image;s=1000x750,diesel,N/A,Berlina,Audi,A4,olx_jyciT,2025-09-15T08:16:49.597631
Audi A6 40Tdi Mild Hybrid 204Cp S Tronic,"27 300 €
Prețul e negociabil",27300.0,2020,93 000,https://www.olx.ro/d/oferta/audi-a6-40tdi-mild-hybrid-204cp-s-tronic-IDjLRPT.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/2mu80w6o209e2-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/o1n1p94qu4ls-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/64mdgfoo4kwq-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/sxlvsr8xs4g11-RO/image;s=1024x768;https://frankfurt.apollo.olxcdn.com:443/v1/files/qy2cjd3x85qb2-RO/image;s=1024x768,diesel,automatic,Berlina,Audi,A6,olx_jLRPT,2025-09-15T08:17:55.173113
Audi A4 3X S Line 2017 Euro 6,21 500 €,21500.0,2017,166 240,https://www.olx.ro/d/oferta/audi-a4-3x-s-line-2017-euro-6-IDjyciT.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1o8kj6hog5g1-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/c6r59shlcnla-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/6peov2w4wm2t3-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/aab0tv50dsj51-RO/image;s=1000x751;https://frankfurt.apollo.olxcdn.com:443/v1/files/xgjx3mszo9gm2-RO/image;s=1000x750,diesel,N/A,Berlina,Audi,A4,olx_jyciT,2025-09-15T08:18:02.481974
2018 Audi A8 50Tdi Mild Hybrid Schimb Cu Suv,40 500 €,40500.0,2017,133 000,https://www.olx.ro/d/oferta/2018-audi-a8-50tdi-mild-hybrid-schimb-cu-suv-IDjJ7nb.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/r8d6k4pjge6n-RO/image;s=6048x4024;https://frankfurt.apollo.olxcdn.com:443/v1/files/ycx0i80psita1-RO/image;s=2510x1670;https://frankfurt.apollo.olxcdn.com:443/v1/files/tn3wuy4divzy-RO/image;s=2000x1331;https://frankfurt.apollo.olxcdn.com:443/v1/files/j6d0l8cffxje-RO/image;s=2000x1331;https://frankfurt.apollo.olxcdn.com:443/v1/files/gg2nvruc9s58-RO/image;s=2000x1331,diesel,automatic,Berlina,Audi,A8,olx_jJ7nb,2025-09-15T08:20:10.813228
Bmw 530E Facelift Luxury Line 2020,27 990 €,27990.0,2021,122 844,https://www.olx.ro/d/oferta/bmw-530e-facelift-luxury-line-2020-IDjKK4u.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/7qo3qap9g6rq1-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/sud1ky1exwa11-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/v0okhmja6hag1-RO/image;s=1200x1600;https://frankfurt.apollo.olxcdn.com:443/v1/files/ydoae0wdh4co-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/27ye4enykn7k2-RO/image;s=1200x1600,petrol,automatic,Berlina,BMW,Unknown,olx_jKK4u,2025-09-15T08:20:50.238729
Bmw F20 116D 70K Km,"15 800 €
Prețul e negociabil",15800.0,2018,,https://www.olx.ro/d/oferta/bmw-f20-116d-70k-km-IDjOirE.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/mvfc4n255uxx2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/a3529c1nd23z1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/c2v58a4km20k-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/asagg8n9m2ak1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/lpwxpp8eizmm2-RO/image;s=1000x750,diesel,automatic,Hatchback,BMW,Unknown,olx_jOirE,2025-09-15T08:20:58.318666
Bmw 745 Le Xdrive,42 000 €,42000.0,2020,67 000,https://www.olx.ro/d/oferta/bmw-745-le-xdrive-IDjKU5w.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/i4ayrd9owdbt2-RO/image;s=1000x759;https://frankfurt.apollo.olxcdn.com:443/v1/files/8mpap7muaiwp3-RO/image;s=1000x728;https://frankfurt.apollo.olxcdn.com:443/v1/files/k8727zo92fin2-RO/image;s=1000x755;https://frankfurt.apollo.olxcdn.com:443/v1/files/lebw86priu4z-RO/image;s=1000x733;https://frankfurt.apollo.olxcdn.com:443/v1/files/nl7qzum9x3383-RO/image;s=1000x745,hybrid,automatic,Berlina,BMW,Unknown,olx_jKU5w,2025-09-15T08:21:05.849238
Bmw G30 518D 2019,"21 850 €
Prețul e negociabil",21850.0,2019,152 926,https://www.olx.ro/d/oferta/bmw-g30-518d-2019-IDiBzt2.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/h9aamljzfp6x2-RO/image;s=3840x5120;https://frankfurt.apollo.olxcdn.com:443/v1/files/4l9uyztu524v3-RO/image;s=5120x3840;https://frankfurt.apollo.olxcdn.com:443/v1/files/m4wxmdu0oy121-RO/image;s=5120x3840;https://frankfurt.apollo.olxcdn.com:443/v1/files/y28cwagxhlc02-RO/image;s=3840x5120;https://frankfurt.apollo.olxcdn.com:443/v1/files/lq1yiir5gemt2-RO/image;s=3840x5120,diesel,automatic,Berlina,BMW,Unknown,olx_iBzt2,2025-09-15T08:21:14.331886
Bmw Seria 5 530Xd,25 000 €,25000.0,2017,168 000,https://www.olx.ro/d/oferta/bmw-seria-5-530xd-IDjIiER.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/d7bvb4q27sy11-RO/image;s=1000x563;https://frankfurt.apollo.olxcdn.com:443/v1/files/bdpi9awioik93-RO/image;s=563x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/wla1bg44826f3-RO/image;s=563x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/uf56dfxns0sf2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/ql4ojfa8tf56-RO/image;s=1000x750,diesel,automatic,Berlina,BMW,Seria 5,olx_jIiER,2025-09-15T08:21:22.150506
Bmw X4 2 0D 190 Cp 2019 4X4 Euro 6,"26 500 €
Prețul e negociabil",26500.0,2019,165 000,https://www.olx.ro/d/oferta/bmw-x4-2-0d-190-cp-2019-4x4-euro-6-IDjLODo.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/5p2krel00q1s-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/furba04kdo773-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/1wils3hpk2gp1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/uq3g9hs55vym1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/wmq63sl1fmm21-RO/image;s=1000x1000,diesel,automatic,SUV,BMW,X4,olx_jLODo,2025-09-15T08:21:29.148620
Bmw 540I Pachet M,29 990 €,29990.0,2017,166 000,https://www.olx.ro/d/oferta/bmw-540i-pachet-m-IDjMA2F.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/3p98tt2bxzjk2-RO/image;s=1000x906;https://frankfurt.apollo.olxcdn.com:443/v1/files/07t2daoy3sjn3-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/14iqevrx9j7o2-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/30kso6meyr012-RO/image;s=750x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/g4glhxedb9ur3-RO/image;s=750x1000,petrol,automatic,Berlina,BMW,Unknown,olx_jMA2F,2025-09-15T08:21:37.393571
Bmw X2 140Kw 2 0 D Automata Steptronic 8 Trepte 2023,"24 199 €
Prețul e negociabil",24199.0,2023,39 200,https://www.olx.ro/d/oferta/bmw-x2-140kw-2-0-d-automata-steptronic-8-trepte-2023-IDjbcxO.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/mgbfgzs9iuga3-RO/image;s=1625x914;https://frankfurt.apollo.olxcdn.com:443/v1/files/43exv26xoal43-RO/image;s=1625x914;https://frankfurt.apollo.olxcdn.com:443/v1/files/t2yta43hlytm2-RO/image;s=1625x914;https://frankfurt.apollo.olxcdn.com:443/v1/files/u12dtou8tkn73-RO/image;s=1625x914;https://frankfurt.apollo.olxcdn.com:443/v1/files/4powldi90r5q-RO/image;s=1625x914,diesel,automatic,SUV,BMW,X2,olx_jbcxO,2025-09-15T08:21:45.246277
Vand Bmw 325D Gt A F 2017,"16 700 €
Prețul e negociabil",16700.0,2017,192 000,https://www.olx.ro/d/oferta/vand-bmw-325d-gt-a-f-2017-IDjOizK.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/b5bshhdd5tfa1-RO/image;s=2000x2667;https://frankfurt.apollo.olxcdn.com:443/v1/files/y8aonxjund1v1-RO/image;s=1080x1440;https://frankfurt.apollo.olxcdn.com:443/v1/files/a619x5gdw3ug3-RO/image;s=2000x2667;https://frankfurt.apollo.olxcdn.com:443/v1/files/mstokgf991fh2-RO/image;s=2000x2667;https://frankfurt.apollo.olxcdn.com:443/v1/files/f3xd8rwdv33k1-RO/image;s=2000x2667,diesel,automatic,Hatchback,BMW,Unknown,olx_jOizK,2025-09-15T08:21:53.290928
Bmw 430I Xdrive Gran Coupe Mhev,41 500 €,41500.0,2024,8.400,https://www.olx.ro/d/oferta/bmw-430i-xdrive-gran-coupe-mhev-IDjMzSW.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/igg78c9adjc4-RO/image;s=1980x1280;https://frankfurt.apollo.olxcdn.com:443/v1/files/005a6poscfow2-RO/image;s=1980x1280;https://frankfurt.apollo.olxcdn.com:443/v1/files/ij3lqkn6xxkb3-RO/image;s=1980x1280;https://frankfurt.apollo.olxcdn.com:443/v1/files/a7kfja2hhhqb3-RO/image;s=1980x1280;https://frankfurt.apollo.olxcdn.com:443/v1/files/fwtwwptglp0y2-RO/image;s=1980x1280,hybrid,N/A,Berlina,BMW,Unknown,olx_jMzSW,2025-09-15T08:22:00.069643
Bmw Seria 5 Xdrive Ventilatiehead Upledtrapacamere360H K 30D,23 500 €,23500.0,2017,190 620,https://www.olx.ro/d/oferta/bmw-seria-5-xdrive-ventilatiehead-upledtrapacamere360h-k-30d-IDjFFtg.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/5neb4h6xfdcg-RO/image;s=1000x668;https://frankfurt.apollo.olxcdn.com:443/v1/files/q3sonh14fpxy1-RO/image;s=1000x668;https://frankfurt.apollo.olxcdn.com:443/v1/files/d27dttis6mwv3-RO/image;s=1000x668;https://frankfurt.apollo.olxcdn.com:443/v1/files/6k1j8zxw3ms7-RO/image;s=1000x668;https://frankfurt.apollo.olxcdn.com:443/v1/files/cuek3cbx5dsc3-RO/image;s=1000x668,diesel,automatic,Berlina,BMW,Seria 5,olx_jFFtg,2025-09-15T08:22:07.442002
