titlu,pret_text,pret_numeric,an,kilometraj,locatie,link,imagini_urls,combustibil,transmisie,caroserie,marca,model,id_unic,data_scraping
Audi A6 Sline 2018 Black Edition 2 0 Tdi Matrix Stronic Alcantara,14 990 €,14990.0,2018,242 000,N/A,https://www.olx.ro/d/oferta/audi-a6-sline-2018-black-edition-2-0-tdi-matrix-stronic-alcantara-IDjFX6J.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/jcvb580xfpzz1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/8t98da8d48mt-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/25nj6aod01hx2-RO/image;s=667x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/nqkqapjb40pt2-RO/image;s=667x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/1ts0ioxru06m2-RO/image;s=667x1000,diesel,automatic,Break,Audi,A6,olx_jFX6J,2025-08-27T14:19:06.802277
Vand Audi A 5 2018,25 500 €,25500.0,N/A,N/A,N/A,https://www.olx.ro/d/oferta/vand-audi-a-5-2018-IDjxw4n.html,,N/A,N/A,N/A,Audi,Unknown,olx_jxw4n,2025-08-27T14:19:10.117787
Audi A8 55 Tfsi Long Mhve,51 500 €,51500.0,2018,150 000,N/A,https://www.olx.ro/d/oferta/audi-a8-55-tfsi-long-mhve-IDjJneV.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/dkvsgcqwo6mv2-RO/image;s=1026x1824;https://frankfurt.apollo.olxcdn.com:443/v1/files/ork1t0t9mytf2-RO/image;s=1026x1824;https://frankfurt.apollo.olxcdn.com:443/v1/files/vf35tkuftfjc-RO/image;s=1026x1824;https://frankfurt.apollo.olxcdn.com:443/v1/files/c654j76p5ua72-RO/image;s=1026x1824;https://frankfurt.apollo.olxcdn.com:443/v1/files/vvazt04jisoh-RO/image;s=1026x1824,petrol,automatic,Berlina,Audi,A8,olx_jJneV,2025-08-27T14:19:14.606699
Bmw 520I Mildhybrid G60,45 850 €,45850.0,2024,N/A,N/A,https://www.olx.ro/d/oferta/bmw-520i-mildhybrid-g60-IDjG1TW.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/i2mvuz1hojts3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/8su9h7ve0zpw1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/383n90s0avcg1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/pijahshd9w0k1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/x3sebiocdw2v1-RO/image;s=1000x750,petrol,automatic,Berlina,BMW,Unknown,olx_jG1TW,2025-08-27T14:19:18.660791
Bmw X6 M50D 2020,75 000 €,75000.0,2020,128 000,N/A,https://www.olx.ro/d/oferta/bmw-x6-m50d-2020-IDiPktT.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/7ejtbwkt5q0s3-RO/image;s=840x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/3m1aa29ls8i9-RO/image;s=871x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/2fceng66xo0m1-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/s2z9f097e3q4-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/ujc9a4hxs6h22-RO/image;s=791x1000,diesel,automatic,SUV,BMW,M5,olx_iPktT,2025-08-27T14:19:22.731560
Vand Seria 5 X Drive,20 800 €,20800.0,N/A,N/A,N/A,https://www.olx.ro/d/oferta/vand-seria-5-x-drive-IDjoZdh.html,,N/A,N/A,N/A,Unknown,Unknown,olx_joZdh,2025-08-27T14:19:25.631015
Bmw X1 2 0D 2023 Inmatriculat Ro,30 990 €,30990.0,2023,129 900,N/A,https://www.olx.ro/d/oferta/bmw-x1-2-0d-2023-inmatriculat-ro-IDjJRDd.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/ulo4nb7b49wn2-RO/image;s=4000x2171;https://frankfurt.apollo.olxcdn.com:443/v1/files/n8bfj9czl2703-RO/image;s=3906x2147;https://frankfurt.apollo.olxcdn.com:443/v1/files/bkpuvu4gofu3-RO/image;s=3000x3230;https://frankfurt.apollo.olxcdn.com:443/v1/files/oc2t55samaah1-RO/image;s=2611x2443;https://frankfurt.apollo.olxcdn.com:443/v1/files/fde2os35if3u1-RO/image;s=4000x3000,diesel,automatic,SUV,BMW,X1,olx_jJRDd,2025-08-27T14:19:29.152242
Bmw X5 45E Plug In Hybrid 394 Cp Tva Deductibil,41 750 €,41750.0,2020,99 000,N/A,https://www.olx.ro/d/oferta/bmw-x5-45e-plug-in-hybrid-394-cp-tva-deductibil-IDjdD8o.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/9p30n79tuyh1-RO/image;s=1568x1176;https://frankfurt.apollo.olxcdn.com:443/v1/files/zxbbyah9g6tp3-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/xyr2uwigoglg1-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/jf1t88horupg-RO/image;s=1600x1200;https://frankfurt.apollo.olxcdn.com:443/v1/files/zsefpa0s8xhh-RO/image;s=1564x1173,N/A,automatic,SUV,BMW,X5,olx_jdD8o,2025-08-27T14:19:32.515797
Bmw Seria 5 G31 530D 265 Cp Packet M Trapa Hk Head Up Nappa Proprietar,23 500 €,23500.0,2019,217 588,N/A,https://www.olx.ro/d/oferta/bmw-seria-5-g31-530d-265-cp-packet-m-trapa-hk-head-up-nappa-proprietar-IDjF1Pu.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/jmm26v6gx9ka-RO/image;s=2000x1333;https://frankfurt.apollo.olxcdn.com:443/v1/files/4nvv30gwxqj83-RO/image;s=2000x1333;https://frankfurt.apollo.olxcdn.com:443/v1/files/wz2s7xmh67831-RO/image;s=2000x1333;https://frankfurt.apollo.olxcdn.com:443/v1/files/hlhyvnyq7vm72-RO/image;s=2000x1333;https://frankfurt.apollo.olxcdn.com:443/v1/files/heg3w0o7huun1-RO/image;s=2000x1333,diesel,automatic,Break,BMW,Seria 5,olx_jF1Pu,2025-08-27T14:19:36.485072
Mercedes Benz Mercedes C W205 Coupe Automat,18 499 €,18499.0,2017,99 900,N/A,https://www.olx.ro/d/oferta/mercedes-benz-mercedes-c-w205-coupe-automat-IDjEp0D.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/zmf4fyy5tmqx-RO/image;s=1517x998;https://frankfurt.apollo.olxcdn.com:443/v1/files/k130an1av9v1-RO/image;s=1008x567;https://frankfurt.apollo.olxcdn.com:443/v1/files/klizde9owf72-RO/image;s=1008x567;https://frankfurt.apollo.olxcdn.com:443/v1/files/ijabv8x7amhw2-RO/image;s=1008x567;https://frankfurt.apollo.olxcdn.com:443/v1/files/8z6c5jdqrgcv1-RO/image;s=1008x567,petrol,automatic,Coupe,Unknown,Unknown,olx_jEp0D,2025-08-27T14:19:40.529659
Mercedes Benz Glc,26 000 €,26000.0,2018,152 000,N/A,https://www.olx.ro/d/oferta/mercedes-benz-glc-IDgB3Mp.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/1b7h4i6mm88a3-RO/image;s=1079x773;https://frankfurt.apollo.olxcdn.com:443/v1/files/7d1mifrzmxm61-RO/image;s=756x1008;https://frankfurt.apollo.olxcdn.com:443/v1/files/ck4tajn7xl5l-RO/image;s=1079x1033;https://frankfurt.apollo.olxcdn.com:443/v1/files/dmmmsnoit2ko-RO/image;s=978x650;https://frankfurt.apollo.olxcdn.com:443/v1/files/ivds1ysitz623-RO/image;s=1002x739,diesel,automatic,SUV,Unknown,Unknown,olx_gB3Mp,2025-08-27T14:19:43.954554
Mercedes Benz E300 De Amg Line Plug In Hybrid,36 950 €,36950.0,N/A,N/A,N/A,https://www.olx.ro/d/oferta/mercedes-benz-e300-de-amg-line-plug-in-hybrid-IDjKArw.html,,N/A,N/A,N/A,MG,Unknown,olx_jKArw,2025-08-27T14:19:47.909512
Mercedes Cla 2017 4 Matic,18 500 €,18500.0,2017,126 000,N/A,https://www.olx.ro/d/oferta/mercedes-cla-2017-4-matic-IDjKAmD.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/acab1wsxm2mz-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/r0itt2jdqnih3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/tqazab55uq5q2-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/pm75xzxvypbf3-RO/image;s=1000x750;https://frankfurt.apollo.olxcdn.com:443/v1/files/wp7ttkz8v7mm2-RO/image;s=1000x750,petrol,automatic,Berlina,Unknown,Unknown,olx_jKAmD,2025-08-27T14:19:52.649102
Mercedes E Clasa 220D,15 500 €,15500.0,2018,240 000,N/A,https://www.olx.ro/d/oferta/mercedes-e-clasa-220d-IDjqM3Y.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/nvql7s93bsvm-RO/image;s=461x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/l4grfio3gl1k1-RO/image;s=461x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/9us70visp4wr2-RO/image;s=461x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/zp5ow8egl1ge2-RO/image;s=461x1000;https://frankfurt.apollo.olxcdn.com:443/v1/files/xcikwkbm2jt52-RO/image;s=461x1000,diesel,automatic,Berlina,Unknown,Unknown,olx_jqM3Y,2025-08-27T14:19:56.754075
Vand Mercedes A Class 180D 2019,18 500 €,18500.0,2019,185 000,N/A,https://www.olx.ro/d/oferta/vand-mercedes-a-class-180d-2019-IDivx0Z.html,https://frankfurt.apollo.olxcdn.com:443/v1/files/uzspmkytqafg1-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/lkp7s889sknw-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/agd7vtamrq391-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/a35x3dxe0chf-RO/image;s=1500x2000;https://frankfurt.apollo.olxcdn.com:443/v1/files/wsnbz9fbpap2-RO/image;s=1500x2000,diesel,automatic,Berlina,Unknown,Unknown,olx_ivx0Z,2025-08-27T14:20:01.230988
